,Timestamp,InventoryType,Ad - Length,Ad- Width,Ad Size,Ad Type,Platform,Device Type,Format,Available_Impressions,Matched_Queries,Impressions,Clicks,Spend,Fee,Revenue,CTR,CPM,CPC,Cluster_km,SSamp
312,2020-10-23-4,Format6,336,250,84000,Inter220,Web,Mobile,Display,215,88,87,13,0.93,0.35,0.61,14.94,10.69,0.07,2,0.16689802751784985
313,2020-10-14-4,Format6,336,250,84000,Inter221,App,Mobile,Display,181,70,68,15,0.96,0.35,0.62,22.06,14.12,0.06,2,0.19572457620423026
314,2020-11-16-8,Format4,120,600,72000,Inter225,Video,Mobile,Display,52,42,39,11,0.96,0.35,0.62,28.21,24.62,0.09,2,0.4912559972373203
315,2020-10-22-5,Format6,336,250,84000,Inter228,Video,Mobile,Display,180,94,85,12,0.98,0.35,0.63,14.12,11.53,0.08,2,0.1707707878570596
316,2020-9-9-21,Format4,120,600,72000,Inter228,Video,Mobile,Video,539,81,74,24,0.98,0.35,0.64,32.43,13.24,0.04,2,0.4888418572828442
317,2020-9-30-5,Format4,120,600,72000,Inter222,Video,Desktop,Display,219,61,52,10,0.98,0.35,0.64,19.23,18.85,0.1,2,0.6407251298856548
318,2020-11-6-17,Format5,720,300,216000,Inter225,Video,Mobile,Video,98,68,59,13,0.99,0.35,0.64,22.03,16.78,0.08,0,0.34237862856054596
319,2020-11-15-21,Format4,120,600,72000,Inter225,Video,Mobile,Video,81,33,32,13,0.99,0.35,0.64,40.62,30.94,0.08,2,0.38610881297153843
320,2020-11-5-21,Format5,720,300,216000,Inter224,Web,Desktop,Display,290,168,142,19,1.0,0.35,0.65,13.38,7.04,0.05,0,0.43224230233970046
321,2020-11-23-10,Format4,120,600,72000,Inter229,Video,Desktop,Display,61,44,44,13,1.04,0.35,0.67,29.55,23.64,0.08,2,0.4883432271010589
322,2020-9-13-3,Format4,120,600,72000,Inter225,Video,Mobile,Video,330,44,43,11,1.04,0.35,0.68,25.58,24.19,0.09,2,0.5209858136349769
323,2020-10-6-3,Format4,120,600,72000,Inter224,Web,Desktop,Display,308,66,64,11,1.05,0.35,0.68,17.19,16.41,0.1,2,0.6740918597484937
324,2020-11-17-17,Format4,120,600,72000,Inter228,Video,Mobile,Video,100,57,54,13,1.07,0.35,0.69,24.07,19.81,0.08,2,0.590381593529872
325,2020-9-14-2,Format4,120,600,72000,Inter229,Video,Desktop,Video,411,81,78,15,1.08,0.35,0.7,19.23,13.85,0.07,2,0.6711456455232917
326,2020-10-3-5,Format4,120,600,72000,Inter221,App,Mobile,Display,216,67,63,16,1.1,0.35,0.71,25.4,17.46,0.07,2,0.5935350092611463
327,2020-10-4-15,Format1,300,250,75000,Inter220,Web,Mobile,Video,1984,311,311,1,1.1,0.35,0.71,0.32,3.54,1.1,3,0.3158108965375402
328,2020-10-5-4,Format4,120,600,72000,Inter217,Web,Desktop,Display,329,72,70,12,1.11,0.35,0.72,17.14,15.86,0.09,2,0.6779716905350691
